"figure","panel","group","datasets_used","minima","whisker_min","first_quartile","median","third_quartile","whisker_max","maxima"
"Sup8C",4,1,6,1.21976872845315,0.0275682424215891,0.26561624599681,0.675223662575715,1.2220513571138,1.31032663132532,3.6310715687519
"Sup8C",4,2,6,0.216495643216354,0.887090937058291,1.41664184749229,1.88126639263013,3.85053451785842,4.43286810150088,10.6614520083172
"Sup8E",1,1,6,0.0831362342837277,0.0831362342837277,0.16491718952033,0.483818992342817,1.00598067108245,1.75377853855263,43.5482009039982
"Sup8E",1,2,6,2.0956425261616,3.60749072978985,9.87756458885825,14.7128671556972,21.0958979794747,22.9018508926038,22.9018508926038
"Sup8E",2,1,5,0.171738629741488,0.171738629741488,0.317560800487906,1.40912251085888,2.23608702579525,3.35577179323174,3.35577179323174
"Sup8E",2,2,5,0.278060009716116,0.278060009716116,0.627522308703442,1.18489645469559,1.42084763086828,2.20084124554517,2.2488440689981
"Sup8E",3,1,12,0.0831362342837277,0.00921620493578289,0.154414287496048,0.493286794099826,0.724837956686211,1.43067634001648,43.5482009039982
"Sup8E",3,2,12,2.0956425261616,0.0647622336341619,0.447618451800105,0.690999929933287,0.886608388284989,1.26433627908288,22.9018508926038
"Sup8E",4,1,6,0.171738629741488,0.172614556814398,0.259852863267133,0.334208716569148,0.459867209635056,0.4939957594923,3.35577179323174
"Sup8E",4,2,6,0.278060009716116,0.287442252669839,3.38031915982627,5.75861204044816,11.6385840197691,15.4714309627743,2.2488440689981
"Sup8F",1,1,7,0.0163911710746333,0.0163911710746333,0.102335453678467,0.897318078139881,1.1395344142495,1.98435001092964,1.98435001092964
"Sup8F",1,2,7,4.02583435583434,6.52663342697414,14.8961222180424,23.0623060503297,31.1804611254054,49.0746911620375,49.0746911620375
"Sup8F",2,1,5,0.0163911710746333,0.0448366578339709,0.307404089485883,1.02413584058435,2.39143186341025,2.80810837091958,1.98435001092964
"Sup8F",2,2,5,4.02583435583434,0.0683755496242426,1.19692270662481,2.02051914125898,2.07158639046085,3.23072119587506,49.0746911620375
"Sup8F",3,1,12,0.0163911710746333,0.0169963498371263,0.226798004259003,0.549754247714603,0.784038387876164,0.954594907297632,1.98435001092964
"Sup8F",3,2,12,4.02583435583434,0.0422342245680084,0.33337534660733,0.562576263194126,1.07596241904986,1.76159293176479,49.0746911620375
"Sup8F",4,1,6,0.0163911710746333,0.171254245815966,0.334601413930472,0.623780259122586,0.662948927923002,0.671617778164609,1.98435001092964
"Sup8F",4,2,6,4.02583435583434,1.88227556649793,5.62780660344979,6.30301566343513,13.9533747153016,26.4030476848065,49.0746911620375
"Sup9C",1,1,2,2.3121950081286,7.34330066016564,8.32246961444063,9.30163856871563,10.2808075229906,11.2599764772656,11.2599764772656
"Sup9C",1,2,2,0.532828959467827,0.532828959467827,1.42468898083925,2.31654900221067,3.20840902358209,4.10026904495351,4.10026904495351
"Sup9C",2,1,3,0.0703438200530029,0.0703438200530029,0.506643540744959,0.942943261436915,0.97662341041083,1.01030355938475,11.0366770589515
"Sup9C",2,2,3,0.0759538458977145,0.0759538458977145,0.302394563390355,0.528835280882996,0.569853313964972,0.610871347046948,2.27828200880329
"Sup9C",3,1,8,2.3121950081286,0.282681155798827,0.309662455846373,0.754241216947663,1.04312767066526,1.2902363856743,11.2599764772656
"Sup9C",3,2,8,0.532828959467827,0.11026425755095,0.223582674410827,0.370065609405911,0.597087562419661,0.896688878165414,4.10026904495351
"Sup9C",4,1,4,0.0703438200530029,0.104884955202483,0.994215262792296,2.05242754785275,4.86981656252532,4.86981656252532,11.0366770589515
"Sup9C",4,2,4,0.0759538458977145,0.0159027225910306,0.0811905458734111,0.11211023056345,0.660520982820344,0.660520982820344,2.27828200880329
"Sup9D",1,1,2,1.03912092563951,8.29970673214769,9.15757843642519,10.0154501407027,10.8733218449802,11.7311935492577,11.7311935492577
"Sup9D",1,2,2,0.193246119407755,0.193246119407755,1.22656856058234,2.25989100175693,3.29321344293151,4.3265358841061,4.3265358841061
