"figure" "panel" "group" "minima" "whisker_min" "first_quartile" "median" "third_quartile" "whisker_max" "maxima"
"Sup5B" 1 1 2.36627895736069 2.36627895736069 4.76018301491517 8.13723149106889 10.3157611106903 14.5384876092384 14.5384876092384
"Sup5B" 1 2 0.235909572440337 0.235909572440337 0.701317373239849 1.8859856875763 3.07659758085665 6.13471194426658 6.13471194426658
"Sup5B" 2 1 0.172055977170502 0.172055977170502 0.583759561681755 1.08276729792748 1.08645169473544 1.08645169473544 2.93325876575405
"Sup5B" 2 2 0.12846991229942 0.12846991229942 0.367566597066747 0.468199607583502 0.666302075397593 0.666302075397593 1.75558395979446
"Sup5B" 3 1 0.0174961766519788 0.0174961766519788 0.438047066646841 0.811354660451062 0.996431018026245 1.49811101928801 2.89234287948051
"Sup5B" 3 2 0.245336667436621 0.245336667436621 0.397475571853028 0.527092340386045 1.21089446180823 1.83532518780006 3.24375347618727
"Sup5B" 4 1 0.0846859980803546 0.0846859980803546 0.393334764677142 1.34533497760091 3.15144548956526 4.96362124232967 4.96362124232967
"Sup5B" 4 2 0.148614823069917 0.148614823069917 0.26814796046675 0.666946061210749 2.74499281144672 3.9385861448657 3.9385861448657
"Sup5C" 1 1 0.110722756597884 0.110722756597884 0.201763183099766 0.685223808827593 1.57695190357544 1.81090819658012 1.81090819658012
"Sup5C" 1 2 0.916050855984849 0.916050855984849 1.4450347968086 2.31408670933779 3.02423028496398 3.26161972396881 3.26161972396881
"Sup5C" 2 1 0.553452537483999 1.21976872845315 1.21976872845315 1.22392964788631 1.49128231948383 1.49128231948383 1.49128231948383
"Sup5C" 2 2 0.216495643216354 0.216495643216354 0.884020447136922 1.57684954654359 2.09047242833692 3.00294292869643 3.00294292869643
"Sup5C" 3 1 0.000358325336329996 0.000358325336329996 0.371115065459644 0.880037433604416 1.77958980801976 3.19994552470122 3.19994552470122
"Sup5C" 3 2 0.141361892156391 0.141361892156391 0.571576834492766 1.40703086445522 2.07385065594379 3.6457497377923 3.6457497377923
"Sup5C" 4 1 0.0275682424215951 0.0275682424215951 0.265616245996811 0.675223662575715 1.2220513571138 1.31032663132532 1.40703086445522
"Sup5C" 4 2 0.887090937058298 0.887090937058298 1.41664184749229 1.88126639263013 3.85053451785842 4.43286810150088 4.43286810150088
"Sup5E" 1 1 0.0831362342837277 0.0831362342837277 0.164917189520311 0.483818992342821 1.00598067108244 1.75377853855263 1.75377853855263
"Sup5E" 1 2 3.60749072978985 3.60749072978985 9.87756458885825 14.7128671556972 21.0958979794747 22.9018508926038 43.5482009039982
"Sup5E" 2 1 0.171738629741488 0.171738629741488 0.317560800487905 1.40912251085888 2.23608702579524 3.35577179323174 3.35577179323174
"Sup5E" 2 2 0.278060009716112 0.278060009716112 0.627522308703442 1.18489645469559 1.42084763086828 2.20084124554517 2.20084124554517
"Sup5E" 3 1 0.00921620493578289 0.00921620493578289 0.154414287496049 0.493286794099825 0.724837956686212 1.43067634001648 2.0956425261616
"Sup5E" 3 2 0.0647622336341619 0.0647622336341619 0.447618451800105 0.690999929933287 0.886608388284989 1.26433627908288 1.57211174389446
"Sup5E" 4 1 0.172614556814398 0.172614556814398 0.259852863267137 0.33420871656915 0.459867209635056 0.4939957594923 2.2488440689981
"Sup5E" 4 2 0.287442252669839 0.287442252669839 3.38031915982627 5.75861204044816 11.6385840197691 15.4714309627743 15.4714309627743
"Sup5F" 1 1 0.0163911710746333 0.0163911710746333 0.102335453678466 0.897318078139881 1.1395344142495 1.98435001092964 1.98435001092964
"Sup5F" 1 2 6.52663342697414 6.52663342697414 14.8961222180424 23.0623060503297 31.1804611254054 49.0746911620375 49.0746911620375
"Sup5F" 2 1 0.0448366578339647 0.0448366578339647 0.307404089485884 1.02413584058435 2.39143186341024 2.80810837091958 2.80810837091958
"Sup5F" 2 2 0.0683755496242365 0.0683755496242365 1.19692270662481 2.02051914125898 2.07158639046085 3.23072119587506 3.23072119587506
"Sup5F" 3 1 0.0169963498371263 0.0169963498371263 0.226798004259002 0.549754247714603 0.784038387876164 0.954594907297632 1.74453219758762
"Sup5F" 3 2 0.0422342245680084 0.0422342245680084 0.33337534660733 0.562576263194126 1.07596241904986 1.76159293176479 4.02583435583432
"Sup5F" 4 1 0.171254245815966 0.171254245815966 0.334601413930472 0.623780259122586 0.662948927923002 0.671617778164609 0.671617778164609
"Sup5F" 4 2 1.88227556649793 1.88227556649793 5.62780660344979 6.30301566343513 13.9533747153016 26.4030476848065 26.4030476848065
"Sup6C" 1 1 7.34330066016564 7.34330066016564 8.32246961444063 9.30163856871562 10.2808075229906 11.2599764772656 11.2599764772656
"Sup6C" 1 2 0.532828959467827 0.532828959467827 1.42468898083925 2.31654900221067 3.20840902358209 4.10026904495351 4.10026904495351
"Sup6C" 2 1 0.0703438200530029 0.0703438200530029 0.506643540744959 0.942943261436915 0.97662341041083 1.01030355938475 1.01030355938475
"Sup6C" 2 2 0.0759538458977145 0.0759538458977145 0.302394563390355 0.528835280882996 0.569853313964972 0.610871347046948 0.610871347046948
"Sup6C" 3 1 0.282681155798824 0.282681155798824 0.309662455846376 0.754241216947665 1.04312767066526 1.2902363856743 2.3121950081286
"Sup6C" 3 2 0.11026425755095 0.11026425755095 0.223582674410827 0.370065609405912 0.597087562419661 0.896688878165414 1.43164810554771
"Sup6C" 4 1 0.104884955202486 0.104884955202486 0.994215262792296 2.05242754785275 4.86981656252532 4.86981656252532 11.0366770589515
"Sup6C" 4 2 0.0159027225910306 0.0159027225910306 0.0811905458734111 0.11211023056345 0.660520982820345 0.660520982820345 2.27828200880329
"Sup6D" 1 1 8.29970673214769 8.29970673214769 9.15757843642519 10.0154501407027 10.8733218449802 11.7311935492577 11.7311935492577
"Sup6D" 1 2 0.193246119407757 0.193246119407757 1.22656856058234 2.25989100175693 3.29321344293151 4.3265358841061 4.3265358841061
"Sup6D" 2 1 0.359283002814909 0.359283002814909 0.611571850470552 0.863860698126195 1.37877663646126 1.89369257479632 1.89369257479632
"Sup6D" 2 2 0.441696362346125 0.441696362346125 0.46584613713027 0.489995911914415 0.593562221599173 0.697128531283931 0.697128531283931
"Sup6D" 3 1 0.0801737531822455 0.0801737531822455 0.215680217102566 0.507943574198576 1.62439378892617 2.36700093792517 2.36700093792517
"Sup6D" 3 2 0.135800731803278 0.135800731803278 0.302175446383268 0.346392106679963 0.4780099712324 0.4780099712324 1.03912092563951
"Sup6D" 4 1 0.028123507242944 0.028123507242944 0.340076916050982 1.05511446544467 2.76217461895086 6.05019584009637 6.05019584009637
"Sup6D" 4 2 0.277059517336417 0.277059517336417 0.278088407740777 0.322513791529161 1.18136004425113 1.18136004425113 1.18136004425113
"Sup6E" 1 1 1.45953366315535 1.45953366315535 1.61238473246165 1.76523580176794 2.17364934711399 2.58206289246005 2.58206289246005
"Sup6E" 1 2 0.232132704412445 0.232132704412445 0.34728836396172 0.462444023510995 0.757978322197984 1.05351262088497 1.05351262088497
"Sup6E" 2 1 1.17353047498304 1.17353047498304 1.22106398377566 1.26859749256827 1.27354624092549 1.27849498928272 1.27849498928272
"Sup6E" 2 2 1.02822239274594 1.02822239274594 1.05602069332835 1.08381899391076 1.14685234515709 1.20988569640342 1.20988569640342
"Sup6E" 3 1 0.0457072249186962 0.0457072249186962 0.300920448951592 0.449359279842321 0.732706172739056 1.2658718308693 1.2658718308693
"Sup6E" 3 2 0.0531148370727715 0.0531148370727715 0.295050668163717 0.400145192548241 0.561710890116341 0.669722718347906 1.02040565824137
"Sup6E" 4 1 0.21442323782567 0.21442323782567 0.430421363315843 0.509942372505648 0.712197899404382 0.712197899404382 1.29639957802134
"Sup6E" 4 2 1.62931853046598 1.62931853046598 1.74858287528949 1.88752448320887 3.23641480666517 3.23641480666517 6.98552529809941
